City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Kolkata,23/11/2018,187.21,297.11,57.74,74.51,131.96,55.7,1.27,14.5,39.48,11.45,25.1,358,'Very Poor'
Kolkata,24/11/2018,206.07,347.61,122.03,61.56,162.28,68.52,1.54,14.76,37.59,16.7,32.31,357,'Very Poor'
Kolkata,25/11/2018,243.93,378.31,107.88,71.59,154.73,41.36,1.64,11.52,35.77,17.24,35.73,389,'Very Poor'
Kolkata,26/11/2018,164.48,272.33,71.9,67.08,119.59,40,1.22,10.74,34.35,16.15,22.08,365,'Very Poor'
Kolkata,27/11/2018,99.56,175.44,83.37,56.48,138.81,38.8,1.01,6.29,32.22,17.22,22.71,291,Poor
Kolkata,28/11/2018,98.39,161.2,103.73,51.04,154.33,39.93,1.05,6.56,28.56,18.93,29.55,260,Poor
Kolkata,29/11/2018,105.53,176.31,134.88,42.3,176.65,45.72,1.19,7.1,26.44,21.6,31.81,282,Poor
Kolkata,30/11/2018,116.97,218.42,85.43,63.38,146.49,44.97,1.09,10.51,30.05,21.92,31.33,274,Poor
Kolkata,01/12/2018,153.41,254.9,91.62,71.93,163.69,51.49,1.27,20.5,33.72,18.5,34.71,308,'Very Poor'
Kolkata,02/12/2018,153.39,237.95,68.54,66.66,111.44,41.01,0.88,8.68,41.84,11.37,20.1,322,'Very Poor'
Kolkata,03/12/2018,168.37,285.2,118.78,73.9,176.95,44.92,1.18,10.41,37.71,12.88,18.8,332,'Very Poor'
Kolkata,04/12/2018,183.93,316.43,95.48,84.28,168.94,18.63,1.52,15.9,44.14,11.67,29.97,343,'Very Poor'
Kolkata,05/12/2018,239.87,371.23,134.5,96.54,191.3,25.56,1.46,16.57,40.55,15.88,28.32,388,'Very Poor'
Kolkata,06/12/2018,220.71,349.49,79.46,99.83,174.32,38.68,1.29,16.21,46.99,15.41,28.71,384,'Very Poor'
Kolkata,07/12/2018,267.93,418.89,135.62,104.89,231.23,49.27,1.74,24.28,31.93,24.43,48.9,425,Severe
Kolkata,08/12/2018,253.8,388.94,77.04,103.32,182.55,41.99,1.38,16.87,41.22,16.55,38.27,399,'Very Poor'
Kolkata,09/12/2018,227.13,386.88,134.63,107.29,214.57,35.12,1.11,12.85,26.85,12.51,21.53,418,Severe
Kolkata,10/12/2018,199.91,358.27,134.22,84.86,204.4,54.08,1.24,9.08,34.42,19.73,24.02,407,Severe
Kolkata,11/12/2018,211.39,343.07,146.16,62.62,222.15,60.72,1.29,13.58,23,20.85,37.64,381,'Very Poor'
Kolkata,12/12/2018,183.49,306.69,84.94,87.07,155.08,44.28,1.03,21.04,32.67,16.64,23.24,351,'Very Poor'
Kolkata,13/12/2018,130.86,227.88,48.88,74.48,123.37,46.04,0.85,14.05,36.39,10.83,18.46,325,'Very Poor'
Kolkata,14/12/2018,130.09,225.36,30.36,66.2,96.56,40.07,0.76,15.1,43.76,10.91,17.38,294,Poor
Kolkata,15/12/2018,133.61,228.39,28.85,75.68,104.53,38,0.71,19.18,39.71,10.36,15.62,291,Poor
Kolkata,16/12/2018,121.38,219.86,22.3,65.61,87.91,35.79,0.6,18.46,40.94,7.24,11.74,267,Poor
Kolkata,17/12/2018,116.95,187.51,9.02,54.68,63.69,41.99,0.6,10.33,29.16,5.47,10.55,276,Poor
Kolkata,18/12/2018,64.86,98.44,31.67,57.04,57.19,32.24,0.5,5.67,28.42,3.31,7.87,183,Moderate
Kolkata,19/12/2018,74.22,121.56,53.09,64.36,103.22,35.2,0.61,12.18,24.23,4.97,12.43,133,Moderate
Kolkata,20/12/2018,122.11,198.5,91.72,65.74,154.02,39.93,0.84,10.48,31.29,8.19,17.41,224,Poor
Kolkata,21/12/2018,204.44,325.61,156.68,69.69,221.78,55.48,1.36,11.34,36.24,17.93,33.05,340,'Very Poor'
Kolkata,22/12/2018,231.21,349.32,94.83,84.38,183.08,24.58,1.26,16.51,33.35,16.58,34.96,382,'Very Poor'
Kolkata,23/12/2018,204.65,303.95,63.6,84.79,148.17,22.33,0.86,13.09,33.49,10.28,18.48,371,'Very Poor'
Kolkata,24/12/2018,177.51,264.89,70.02,90.29,154.22,16.92,0.67,13.81,28.98,11.17,17.93,347,'Very Poor'
Kolkata,25/12/2018,209.44,341.74,128.06,105.53,216.5,11.43,1.07,15.73,35.91,13.03,21.9,356,'Very Poor'
Kolkata,26/12/2018,197.41,311.48,110.71,109.6,194.51,15.89,1.09,13.82,39.09,12.74,20.83,372,'Very Poor'
Kolkata,27/12/2018,258.54,384.73,131.35,137.35,222.65,15.6,1.54,17.99,29.47,19.95,39.21,390,'Very Poor'
